batch_size	learning_rate	split_count	cnt_min	cnt_max	embedding_dim	category_embedding_dim	hidden_size	checkpoint	epoch_num	accuracy	early_stop_epoch	hidden_size	metric_rankme	metric_coherence	metric_pseudo_condition_number	metric_alpha_req	metric_stable_rank	metric_ne_sum	metric_self_clustering	metric_ripser	std_metric_rankme	std_metric_coherence	std_metric_pseudo_condition_number	std_metric_alpha_req	std_metric_stable_rank	std_metric_ne_sum	std_metric_self_clustering	std_metric_ripser	time_rankme	time_coherence	time_pseudo_condition_number	time_alpha_req	time_stable_rank	time_ne_sum	time_self_clustering	time_ripser	std_time_rankme	std_time_coherence	std_time_pseudo_condition_number	std_time_alpha_req	std_time_stable_rank	std_time_ne_sum	std_time_self_clustering	std_time_ripser
64	0.001	3	10	50	16	8	256	checkpoints/model_64_0.001_3_10_50_256epoch=05.ckpt	5	0.5213888888888889	6	256	69.6106	1.8013	0.0002	4.6762	1.1101	8.42	0.8105	-1581.2783	0.2586	0.0504	0.0	0.0164	0.0011	0.3143	0.0017	7.5029	0.0001	0.0001	0.0	0.0002	0.0001	0.0043	0.0011	0.1701	0.0	0.0	0.0	0.0	0.0	0.0001	0.0001	0.0101
64	0.001	3	10	50	16	8	256	checkpoints/model_64_0.001_3_10_50_256epoch=06.ckpt	6	0.5266666666666666	6	256	73.345	1.7939	0.0003	4.5148	1.1164	8.2434	0.8013	-1638.2969	0.2877	0.0741	0.0	0.0177	0.001	0.2802	0.0014	6.2798	0.0001	0.0001	0.0	0.0002	0.0001	0.0043	0.0011	0.1756	0.0	0.0	0.0	0.0	0.0	0.0001	0.0	0.0138
64	0.001	3	10	50	16	8	256	checkpoints/model_64_0.001_3_10_50_256epoch=07.ckpt	7	0.5208333333333334	6	256	74.8713	1.7415	0.0002	4.5019	1.1174	8.5346	0.8001	-1697.5922	0.2929	0.0626	0.0	0.0137	0.0011	0.3027	0.0015	6.4066	0.0001	0.0002	0.0	0.0002	0.0001	0.0043	0.0011	0.1659	0.0	0.0	0.0	0.0	0.0	0.0001	0.0	0.0043
64	0.001	3	10	50	16	8	256	checkpoints/model_64_0.001_3_10_50_256epoch=08.ckpt	8	0.5316666666666666	6	256	78.0071	1.7453	0.0002	4.5195	1.1236	9.1656	0.7912	-1767.371	0.2752	0.0943	0.0	0.0127	0.001	0.4098	0.0014	7.4124	0.0001	0.0001	0.0	0.0002	0.0001	0.0043	0.0011	0.1736	0.0	0.0	0.0	0.0	0.0	0.0001	0.0	0.0115
64	0.001	3	10	50	16	8	256	checkpoints/model_64_0.001_3_10_50_256epoch=09.ckpt	9	0.5363888888888889	6	256	78.5861	1.716	0.0002	4.4279	1.1178	8.5093	0.7993	-1773.2024	0.2326	0.0616	0.0	0.0152	0.0011	0.3872	0.0015	7.532	0.0001	0.0001	0.0	0.0002	0.0001	0.0043	0.0011	0.1689	0.0	0.0	0.0	0.0	0.0	0.0001	0.0	0.0104
64	0.001	3	10	50	16	8	256	checkpoints/model_64_0.001_3_10_50_256epoch=10.ckpt	10	0.525	6	256	78.9403	1.7741	0.0002	4.4467	1.1214	8.4757	0.7942	-1796.302	0.2561	0.1086	0.0	0.0149	0.0011	0.3656	0.0015	6.9481	0.0001	0.0001	0.0	0.0002	0.0001	0.0044	0.0011	0.1645	0.0	0.0	0.0	0.0	0.0	0.0001	0.0	0.0087
64	0.001	3	10	50	16	8	1024	checkpoints/model_64_0.001_3_10_50_1024epoch=00.ckpt	0	0.4930555555555556	8	1024	78.7588	1.0	1E-04	5.6983	1.0996	6.4419	0.8279	-1365.5657	0.5298	0.0	0.0	0.0087	0.0009	0.2392	0.0012	3.1799	0.0001	0.0004	0.0	0.0002	0.0005	0.0504	0.0022	0.3159	0.0	0.0	0.0	0.0	0.0001	0.0003	0.0001	0.0096
64	0.001	3	10	50	16	8	1024	checkpoints/model_64_0.001_3_10_50_1024epoch=01.ckpt	1	0.5108333333333334	8	1024	98.6272	1.0	1E-04	5.7512	1.0901	7.7227	0.8412	-1736.6425	0.5646	0.0	0.0	0.0112	0.0008	0.3385	0.0012	6.4285	0.0001	0.0003	0.0	0.0002	0.0005	0.0502	0.0021	0.3079	0.0	0.0001	0.0	0.0	0.0001	0.0003	0.0001	0.0051
64	0.001	3	10	50	16	8	1024	checkpoints/model_64_0.001_3_10_50_1024epoch=02.ckpt	2	0.5033333333333333	8	1024	119.3512	1.0	1E-04	5.5418	1.0989	8.9173	0.8276	-1998.1332	0.5225	0.0	0.0	0.0123	0.0008	0.3944	0.0011	5.6556	0.0001	0.0004	0.0	0.0002	0.0005	0.0503	0.002	0.3012	0.0	0.0001	0.0	0.0	0.0001	0.0002	0.0001	0.0074
64	0.001	3	10	50	16	8	1024	checkpoints/model_64_0.001_3_10_50_1024epoch=03.ckpt	3	0.5105555555555555	8	1024	134.6421	1.0	0.0002	5.3621	1.0983	9.5345	0.8287	-2249.941	0.5713	0.0	0.0	0.0126	0.0009	0.5228	0.0013	8.5512	0.0001	0.0004	0.0	0.0002	0.0005	0.0502	0.0021	0.3017	0.0	0.0001	0.0	0.0	0.0001	0.0005	0.0002	0.0075
64	0.001	3	10	50	16	8	1024	checkpoints/model_64_0.001_3_10_50_1024epoch=04.ckpt	4	0.5261111111111111	8	1024	145.1224	1.0	0.0002	5.1675	1.097	9.815	0.8303	-2416.021	0.5385	0.0	0.0	0.0098	0.0009	0.483	0.0013	9.8062	0.0001	0.0004	0.0	0.0002	0.0005	0.0501	0.0021	0.309	0.0	0.0001	0.0	0.0	0.0	0.0003	0.0001	0.0085
64	0.001	3	10	50	16	8	1024	checkpoints/model_64_0.001_3_10_50_1024epoch=05.ckpt	5	0.5411111111111111	8	1024	153.7607	1.0	0.0002	4.9639	1.1005	9.4461	0.8251	-2613.649	0.5603	0.0	0.0	0.0127	0.0008	0.504	0.0012	10.4748	0.0001	0.0004	0.0	0.0002	0.0007	0.0511	0.0023	0.3041	0.0	0.0	0.0	0.0	0.0001	0.0018	0.0001	0.0076
64	0.001	3	10	50	16	8	1024	checkpoints/model_64_0.001_3_10_50_1024epoch=06.ckpt	6	0.5472222222222223	8	1024	156.6154	1.0	0.0002	4.8884	1.0945	9.8267	0.8342	-2646.0535	0.5564	0.0	0.0	0.0108	0.0008	0.4715	0.0012	9.4518	0.0001	0.0004	0.0	0.0002	0.0006	0.051	0.0021	0.307	0.0	0.0	0.0	0.0	0.0001	0.0004	0.0001	0.0113
64	0.001	3	10	50	16	8	1024	checkpoints/model_64_0.001_3_10_50_1024epoch=07.ckpt	7	0.5272222222222223	8	1024	167.9062	1.0	0.0002	4.7354	1.1046	10.6465	0.819	-2817.8003	0.5568	0.0	0.0	0.0118	0.0008	0.4857	0.0012	12.384	0.0001	0.0004	0.0	0.0002	0.0007	0.0507	0.0022	0.3051	0.0	0.0	0.0	0.0	0.0002	0.0004	0.0001	0.0088
64	0.001	3	10	50	16	8	1024	checkpoints/model_64_0.001_3_10_50_1024epoch=08.ckpt	8	0.5691666666666667	8	1024	175.3304	1.0	0.0003	4.6292	1.1064	11.1687	0.8162	-2929.8286	0.3694	0.0	0.0	0.0076	0.001	0.5178	0.0014	11.4483	0.0001	0.0004	0.0	0.0002	0.0006	0.05	0.0024	0.3054	0.0	0.0001	0.0	0.0	0.0001	0.0005	0.001	0.0098
64	0.001	3	10	50	16	8	1024	checkpoints/model_64_0.001_3_10_50_1024epoch=09.ckpt	9	0.5647222222222222	8	1024	172.3501	1.0	0.0003	4.5405	1.0989	9.9461	0.8276	-2914.2864	0.4698	0.0	0.0	0.01	0.0008	0.452	0.0012	9.2797	0.0001	0.0004	0.0	0.0002	0.0005	0.0504	0.0021	0.3006	0.0	0.0	0.0	0.0	0.0001	0.0003	0.0	0.0063
64	0.001	3	10	50	16	8	1024	checkpoints/model_64_0.001_3_10_50_1024epoch=10.ckpt	10	0.5522222222222222	8	1024	177.4497	1.0	0.0003	4.4206	1.1019	10.1144	0.8231	-2931.532	0.3087	0.0	0.0	0.0108	0.001	0.4195	0.0014	8.2677	0.0001	0.0004	0.0	0.0002	0.0006	0.0511	0.0022	0.3038	0.0	0.0	0.0	0.0	0.0001	0.0003	0.0001	0.0094
64	0.001	3	10	50	16	8	1024	checkpoints/model_64_0.001_3_10_50_1024epoch=11.ckpt	11	0.5580555555555555	8	1024	179.0404	1.0	0.0003	4.3987	1.1004	10.7697	0.8253	-2931.9233	0.379	0.0	0.0	0.0083	0.0008	0.5204	0.0012	8.3447	0.0001	0.0004	0.0	0.0002	0.0005	0.0499	0.0021	0.301	0.0	0.0	0.0	0.0	0.0001	0.0005	0.0001	0.0094
64	0.001	3	10	50	16	8	1024	checkpoints/model_64_0.001_3_10_50_1024epoch=12.ckpt	12	0.5522222222222222	8	1024	178.3189	1.0	0.0003	4.377	1.1011	10.1769	0.8242	-2969.6104	0.3263	0.0	0.0	0.0101	0.0008	0.4687	0.0012	9.4397	0.0001	0.0004	0.0	0.0002	0.0005	0.0505	0.0023	0.301	0.0	0.0	0.0	0.0	0.0001	0.0006	0.0003	0.0087
