,batch_size,learning_rate,split_count,cnt_min,cnt_max,embedding_dim,category_embedding_dim,hidden_size,checkpoint,epoch_num,accuracy,early_stop_epoch,hidden_size.1,metric_rankme,metric_coherence,metric_pseudo_condition_number,metric_alpha_req,metric_stable_rank,metric_ne_sum,metric_self_clustering,metric_ripser,time_rankme,time_coherence,time_pseudo_condition_number,time_alpha_req,time_stable_rank,time_ne_sum,time_self_clustering,time_ripser
43,64,0.001,3,10,50,16,8,64,checkpoints/model_64_0.001_3_10_50_64epoch=14-v2.ckpt,43,0.6641860465116279,23,64,29.0854,2.4008,0.004,3.805,1.3054,8.1933,0.5813,-257.9386,0.0001,0.0,0.0,0.0001,0.0,0.0004,0.0001,0.0812
44,64,0.001,3,10,50,16,8,64,checkpoints/model_64_0.001_3_10_50_64epoch=14.ckpt,44,0.6930232558139535,23,64,28.3172,2.3718,0.0013,3.9936,1.283,7.9674,0.5994,-255.1566,0.0001,0.0,0.0,0.0001,0.0,0.0004,0.0001,0.0699
45,64,0.001,3,10,50,16,8,64,checkpoints/model_64_0.001_3_10_50_64epoch=15-v1.ckpt,45,0.6911627906976744,23,64,29.1759,2.4261,0.0029,3.8514,1.3131,7.6201,0.5737,-268.9496,0.0001,0.0,0.0,0.0001,0.0,0.0004,0.0001,0.0863
46,64,0.001,3,10,50,16,8,64,checkpoints/model_64_0.001_3_10_50_64epoch=15-v2.ckpt,46,0.6688372093023256,23,64,29.7843,2.3809,0.0042,3.7768,1.3316,7.9346,0.5584,-264.1051,0.0001,0.0,0.0,0.0001,0.0,0.0004,0.0001,0.085
47,64,0.001,3,10,50,16,8,64,checkpoints/model_64_0.001_3_10_50_64epoch=15.ckpt,47,0.6920930232558139,23,64,28.9717,2.3613,0.0013,3.9513,1.2967,7.8884,0.5877,-261.0267,0.0001,0.0,0.0,0.0001,0.0,0.0004,0.0001,0.0776
48,64,0.001,3,10,50,16,8,64,checkpoints/model_64_0.001_3_10_50_64epoch=16-v1.ckpt,48,0.7032558139534884,23,64,29.4185,2.4174,0.0029,3.8377,1.3115,8.4726,0.5743,-273.1179,0.0001,0.0,0.0,0.0001,0.0,0.0004,0.0001,0.0669
49,64,0.001,3,10,50,16,8,64,checkpoints/model_64_0.001_3_10_50_64epoch=16-v2.ckpt,49,0.6762790697674419,23,64,29.5399,2.3916,0.004,3.7706,1.3082,7.8388,0.5781,-265.0933,0.0001,0.0,0.0,0.0001,0.0,0.0004,0.0001,0.0801
50,64,0.001,3,10,50,16,8,64,checkpoints/model_64_0.001_3_10_50_64epoch=16.ckpt,50,0.6986046511627907,23,64,28.6784,2.3488,0.0012,3.9923,1.284,8.2639,0.5985,-261.3466,0.0001,0.0,0.0,0.0001,0.0,0.0004,0.0001,0.0969
51,64,0.001,3,10,50,16,8,64,checkpoints/model_64_0.001_3_10_50_64epoch=17-v1.ckpt,51,0.7013953488372093,23,64,29.4676,2.4278,0.0028,3.8427,1.3148,8.4203,0.5729,-275.5605,0.0001,0.0,0.0,0.0001,0.0,0.0004,0.0001,0.0703
52,64,0.001,3,10,50,16,8,64,checkpoints/model_64_0.001_3_10_50_64epoch=17-v2.ckpt,52,0.6688372093023256,23,64,29.5588,2.3902,0.0039,3.7701,1.3038,8.0344,0.5814,-266.2129,0.0001,0.0,0.0,0.0001,0.0,0.0004,0.0001,0.0716
53,64,0.001,3,10,50,16,8,64,checkpoints/model_64_0.001_3_10_50_64epoch=17.ckpt,53,0.6986046511627907,23,64,29.005,2.3357,0.0012,3.9818,1.2912,8.6897,0.5921,-265.1145,0.0001,0.0,0.0,0.0001,0.0,0.0003,0.0001,0.0709
54,64,0.001,3,10,50,16,8,64,checkpoints/model_64_0.001_3_10_50_64epoch=18-v1.ckpt,54,0.6790697674418604,23,64,29.2717,2.3886,0.0039,3.7774,1.2875,8.2728,0.5961,-264.827,0.0001,0.0,0.0,0.0001,0.0,0.0003,0.0001,0.0757
55,64,0.001,3,10,50,16,8,64,checkpoints/model_64_0.001_3_10_50_64epoch=18.ckpt,55,0.6902325581395349,23,64,29.189,2.3364,0.0013,3.935,1.2878,8.2631,0.5955,-266.9992,0.0001,0.0,0.0,0.0001,0.0,0.0003,0.0001,0.0767
56,64,0.001,3,10,50,16,8,64,checkpoints/model_64_0.001_3_10_50_64epoch=00.ckpt,0,0.6818604651162791,18,64,22.8469,2.6878,0.0028,4.5583,1.481,3.9826,0.4776,-127.3843,0.0001,0.0,0.0,0.0001,0.0,0.0004,0.0001,0.0518
57,64,0.001,3,10,50,16,8,64,checkpoints/model_64_0.001_3_10_50_64epoch=01.ckpt,1,0.6855813953488372,18,64,23.9575,2.5929,0.0033,4.3978,1.504,3.8581,0.4615,-154.5322,0.0001,0.0,0.0,0.0001,0.0,0.0004,0.0001,0.0532
58,64,0.001,3,10,50,16,8,64,checkpoints/model_64_0.001_3_10_50_64epoch=02.ckpt,2,0.6781395348837209,18,64,24.9988,2.5614,0.0035,4.28,1.4524,4.5382,0.4809,-175.6421,0.0001,0.0,0.0,0.0001,0.0,0.0003,0.0001,0.0594
59,64,0.001,3,10,50,16,8,64,checkpoints/model_64_0.001_3_10_50_64epoch=03.ckpt,3,0.6697674418604651,18,64,25.6641,2.5388,0.0036,4.2,1.4027,5.6118,0.514,-184.8224,0.0001,0.0,0.0,0.0001,0.0,0.0004,0.0001,0.0664
60,64,0.001,3,10,50,16,8,64,checkpoints/model_64_0.001_3_10_50_64epoch=04.ckpt,4,0.6855813953488372,18,64,26.3094,2.4975,0.0037,4.1233,1.3937,6.1793,0.5173,-196.1074,0.0001,0.0,0.0,0.0001,0.0,0.0004,0.0001,0.0691
61,64,0.001,3,10,50,16,8,64,checkpoints/model_64_0.001_3_10_50_64epoch=05.ckpt,5,0.6902325581395349,18,64,26.9069,2.4547,0.0038,4.0694,1.3856,6.3526,0.5227,-204.9126,0.0001,0.0,0.0,0.0001,0.0,0.0004,0.0001,0.0733
62,64,0.001,3,10,50,16,8,64,checkpoints/model_64_0.001_3_10_50_64epoch=06.ckpt,6,0.6920930232558139,18,64,27.1288,2.4262,0.0038,4.011,1.3575,6.5815,0.541,-212.1869,0.0001,0.0,0.0,0.0001,0.0,0.0004,0.0001,0.0766
63,64,0.001,3,10,50,16,8,64,checkpoints/model_64_0.001_3_10_50_64epoch=07.ckpt,7,0.7032558139534884,18,64,27.3013,2.4207,0.0036,3.9644,1.3249,6.683,0.5638,-216.8832,0.0001,0.0,0.0,0.0001,0.0,0.0004,0.0001,0.0692
64,64,0.001,3,10,50,16,8,64,checkpoints/model_64_0.001_3_10_50_64epoch=08.ckpt,8,0.7004651162790698,18,64,27.9682,2.4039,0.0037,3.9263,1.3369,6.9829,0.5545,-228.7535,0.0001,0.0,0.0,0.0001,0.0,0.0004,0.0001,0.0764
65,64,0.001,3,10,50,16,8,64,checkpoints/model_64_0.001_3_10_50_64epoch=09.ckpt,9,0.72,18,64,28.2244,2.3779,0.0036,3.8888,1.3216,6.9706,0.5656,-234.6818,0.0001,0.0,0.0,0.0001,0.0,0.0004,0.0001,0.0735
66,64,0.001,3,10,50,16,8,64,checkpoints/model_64_0.001_3_10_50_64epoch=10.ckpt,10,0.6930232558139535,18,64,28.5157,2.3666,0.0036,3.8733,1.323,7.4286,0.5634,-239.459,0.0001,0.0,0.0,0.0001,0.0,0.0004,0.0001,0.0656
67,64,0.001,3,10,50,16,8,64,checkpoints/model_64_0.001_3_10_50_64epoch=11.ckpt,11,0.7041860465116279,18,64,28.7707,2.3514,0.0036,3.8436,1.3205,7.3364,0.5641,-244.7569,0.0001,0.0,0.0,0.0001,0.0,0.0004,0.0001,0.0751
68,64,0.001,3,10,50,16,8,64,checkpoints/model_64_0.001_3_10_50_64epoch=12.ckpt,12,0.7013953488372093,18,64,28.9998,2.3607,0.0036,3.8444,1.3228,7.5776,0.562,-247.7044,0.0001,0.0,0.0,0.0001,0.0,0.0004,0.0001,0.0654
69,64,0.001,3,10,50,16,8,64,checkpoints/model_64_0.001_3_10_50_64epoch=13.ckpt,13,0.6930232558139535,18,64,29.2667,2.3323,0.0036,3.8136,1.3184,7.6841,0.5652,-254.1895,0.0001,0.0,0.0,0.0001,0.0,0.0004,0.0001,0.0646
70,64,0.001,3,10,50,16,8,64,checkpoints/model_64_0.001_3_10_50_64epoch=14.ckpt,14,0.7023255813953488,18,64,29.3271,2.3419,0.0035,3.8137,1.312,7.9759,0.571,-255.5038,0.0001,0.0,0.0,0.0001,0.0,0.0003,0.0001,0.0578
71,64,0.001,3,10,50,16,8,64,checkpoints/model_64_0.001_3_10_50_64epoch=15.ckpt,15,0.707906976744186,18,64,29.5997,2.3377,0.0035,3.8172,1.3176,8.0075,0.5658,-262.5632,0.0001,0.0,0.0,0.0001,0.0,0.0004,0.0001,0.0704
72,64,0.001,3,10,50,16,8,64,checkpoints/model_64_0.001_3_10_50_64epoch=16.ckpt,16,0.7023255813953488,18,64,29.7808,2.3379,0.0035,3.8002,1.315,8.1589,0.5673,-266.2045,0.0001,0.0,0.0,0.0001,0.0,0.0004,0.0001,0.0942
73,64,0.001,3,10,50,16,8,64,checkpoints/model_64_0.001_3_10_50_64epoch=17.ckpt,17,0.7051162790697675,18,64,29.7142,2.355,0.0033,3.7915,1.3024,8.2066,0.5772,-266.7759,0.0001,0.0,0.0,0.0001,0.0,0.0004,0.0001,0.0742
