batch_size,learning_rate,split_count,cnt_min,cnt_max,embedding_dim,category_embedding_dim,hidden_size,checkpoint,epoch_num,accuracy,early_stop_epoch,hidden_size,metric_rankme,metric_coherence,metric_pseudo_condition_number,metric_alpha_req,metric_stable_rank,metric_ne_sum,metric_self_clustering,metric_ripser_sum_H0,metric_ripser_sum_H1,time_rankme,time_coherence,time_pseudo_condition_number,time_alpha_req,time_stable_rank,time_ne_sum,time_self_clustering,time_ripser_sum_H0,time_ripser_sum_H1
64,0.001,3,10,50,16,8,128,checkpoints/model_64_0.001_3_10_50_128epoch=19.ckpt,19,0.7134883720930233,20,128,41.2466,1.3697,0.0007,4.7646,1.2624,8.5571,0.6211,375.11,19.551,0.0001,0.0001,0.0,0.0002,0.0,0.001,0.0002,0.0381,0.0381
64,0.001,3,10,50,16,8,128,checkpoints/model_64_0.001_3_10_50_128epoch=20.ckpt,20,0.7097674418604651,20,128,42.942,1.3643,0.0007,4.7188,1.286,9.0405,0.5999,385.6088,19.386,0.0001,0.0001,0.0,0.0001,0.0,0.001,0.0002,0.0403,0.0403
64,0.001,3,10,50,16,8,128,checkpoints/model_64_0.001_3_10_50_128epoch=21.ckpt,21,0.7041860465116279,20,128,42.2508,1.3657,0.0007,4.7468,1.2687,9.7776,0.6158,383.0429,19.8746,0.0001,0.0001,0.0,0.0001,0.0,0.001,0.0002,0.0407,0.0407
64,0.001,3,10,50,16,8,128,checkpoints/model_64_0.001_3_10_50_128epoch=22.ckpt,22,0.707906976744186,20,128,42.502,1.3648,0.0007,4.7328,1.2722,9.3467,0.6125,386.8374,19.8343,0.0001,0.0001,0.0,0.0002,0.0,0.001,0.0002,0.0404,0.0404
64,0.001,3,10,50,16,8,128,checkpoints/model_64_0.001_3_10_50_128epoch=23.ckpt,23,0.7088372093023256,20,128,42.8008,1.3647,0.0007,4.7356,1.2757,9.7852,0.6092,388.6306,20.07,0.0001,0.0001,0.0,0.0001,0.0,0.001,0.0002,0.0401,0.0401
64,0.001,3,10,50,16,8,128,checkpoints/model_64_0.001_3_10_50_128epoch=24.ckpt,24,0.7088372093023256,20,128,43.0338,1.3652,0.0008,4.7301,1.2737,10.31,0.6111,390.9914,20.1001,0.0001,0.0001,0.0,0.0001,0.0,0.001,0.0002,0.0405,0.0405
128,0.001,3,10,50,16,8,128,checkpoints/model_128_0.001_3_10_50_128epoch=00.ckpt,0,0.68,29,128,24.35,1.3943,0.0003,5.7691,1.3401,3.8125,0.5879,146.809,5.1118,0.0001,0.0001,0.0,0.0001,0.0,0.001,0.0002,0.0278,0.0278
128,0.001,3,10,50,16,8,128,checkpoints/model_128_0.001_3_10_50_128epoch=01.ckpt,1,0.6818604651162791,29,128,26.499,1.3888,0.0004,5.468,1.4302,4.2751,0.5038,194.1696,7.9779,0.0001,0.0001,0.0,0.0001,0.0,0.001,0.0002,0.0316,0.0316
128,0.001,3,10,50,16,8,128,checkpoints/model_128_0.001_3_10_50_128epoch=02.ckpt,2,0.6911627906976744,29,128,29.9112,1.3864,0.0005,5.3546,1.4128,5.2787,0.5112,222.9906,9.232,0.0001,0.0001,0.0,0.0001,0.0,0.001,0.0002,0.0365,0.0365
128,0.001,3,10,50,16,8,128,checkpoints/model_128_0.001_3_10_50_128epoch=03.ckpt,3,0.7051162790697675,29,128,29.2477,1.3844,0.0005,5.3206,1.3194,6.2263,0.5721,225.8237,9.3365,0.0001,0.0001,0.0,0.0001,0.0,0.001,0.0002,0.0375,0.0375
128,0.001,3,10,50,16,8,128,checkpoints/model_128_0.001_3_10_50_128epoch=04.ckpt,4,0.6920930232558139,29,128,31.0385,1.3824,0.0005,5.3017,1.3585,5.519,0.5431,234.9715,8.7889,0.0001,0.0001,0.0,0.0001,0.0,0.001,0.0002,0.0359,0.0359
128,0.001,3,10,50,16,8,128,checkpoints/model_128_0.001_3_10_50_128epoch=05.ckpt,5,0.6976744186046512,29,128,32.3283,1.3813,0.0006,5.2769,1.3767,6.2156,0.5306,243.7928,9.2996,0.0001,0.0001,0.0,0.0001,0.0,0.001,0.0002,0.0373,0.0373
128,0.001,3,10,50,16,8,128,checkpoints/model_128_0.001_3_10_50_128epoch=06.ckpt,6,0.7041860465116279,29,128,31.8558,1.3798,0.0006,5.2103,1.2879,5.7529,0.5918,245.1747,8.9234,0.0001,0.0001,0.0,0.0001,0.0,0.001,0.0002,0.035,0.035
